iter	Logloss
0	0.5849541211
1	0.4841721856
2	0.4079189363
3	0.335201508
4	0.2870354399
5	0.2437894417
6	0.2199312359
7	0.1900154387
8	0.1615903561
9	0.1507964759
10	0.1276613324
11	0.1091079701
12	0.0984177953
13	0.08768789981
14	0.08020557248
15	0.07287933467
16	0.06643400362
17	0.06030212042
18	0.05530546812
19	0.05042986862
20	0.04720947709
21	0.04410807033
22	0.04161437043
23	0.03844165437
24	0.03593412929
25	0.0335356753
26	0.03151682491
27	0.02833807166
28	0.02672611479
29	0.02446552133
30	0.02333096396
31	0.02162872111
32	0.02050745545
33	0.01883001843
34	0.01752300254
35	0.01635204695
36	0.01527834142
37	0.01443784533
38	0.01368514289
39	0.01296613935
40	0.01236010709
41	0.01189680981
42	0.01142186452
43	0.01082712187
44	0.01029462553
45	0.009854970309
46	0.009588771571
47	0.009207306968
48	0.008743682185
49	0.008360460598
50	0.008051349602
51	0.007702925286
52	0.007379702793
53	0.007179279265
54	0.006864148586
55	0.006763065281
56	0.006532939328
57	0.006290193667
58	0.006086407562
59	0.005984387576
60	0.005662090951
61	0.005512357379
62	0.005379200336
63	0.005180453463
64	0.005002688455
65	0.004870246154
66	0.004740022741
67	0.004615943628
68	0.004485061603
69	0.004391558259
70	0.004300603882
71	0.004189925388
72	0.004091629469
73	0.003960065402
74	0.003836040358
75	0.003725770986
76	0.003634891791
77	0.003538707653
78	0.003440708342
79	0.003340273608
80	0.003254186214
81	0.003191516883
82	0.003114215961
83	0.003040379576
84	0.00298632627
85	0.002893205529
86	0.002810877734
87	0.002758194691
88	0.002684425506
89	0.002613147615
90	0.00254531598
91	0.002462898071
92	0.002389894091
93	0.002349343362
94	0.002305517081
95	0.002229167517
96	0.002178396715
97	0.002126455833
98	0.002078342781
99	0.002035756482
100	0.001976811218
101	0.001924790649
102	0.001898921588
103	0.001853100547
104	0.00181217185
105	0.001783281489
106	0.001746888024
107	0.001686475043
108	0.001656532139
109	0.001625669676
110	0.001570133721
111	0.001548274005
112	0.00151820906
113	0.001484955202
114	0.001456931362
115	0.001430268387
116	0.001408228957
117	0.001389767221
118	0.001358857512
119	0.001338138267
120	0.001306221072
121	0.001282795029
122	0.001268428892
123	0.001250901778
124	0.001226150658
125	0.001206368738
126	0.001186680666
127	0.001162060213
128	0.001142072444
129	0.001119810429
130	0.001119810429
131	0.001119719285
132	0.001105604698
133	0.001102337771
134	0.00108996691
135	0.001069789642
136	0.001050825773
137	0.001050767584
138	0.001050721947
139	0.001050707786
140	0.001050707786
141	0.001050753809
142	0.001050808329
143	0.001050751621
144	0.001050785414
145	0.001050740099
146	0.001050694076
147	0.001050720789
148	0.00105073083
149	0.001050638527
150	0.001050711391
151	0.001050669101
152	0.001050651078
153	0.001050643547
154	0.001050555492
155	0.001050437699
156	0.0010504946
157	0.001050446903
158	0.001050272402
159	0.001050272402
160	0.001050206747
161	0.001050206747
162	0.001050143795
163	0.001050070995
164	0.001050045055
165	0.001049929901
166	0.001049834958
167	0.00104984648
168	0.001049827234
169	0.001049784816
170	0.001049833606
171	0.001049784365
172	0.001049722765
173	0.001049646746
174	0.00104963928
175	0.001045331589
176	0.001042882649
177	0.001042970318
178	0.001042877692
179	0.001042877692
